open,volume,sma_30,rsi,macd,dia_close,dia_volume,gld_close,gld_volume,spy_close,spy_volume,federal_funds_rate_daily,treasury_yield_daily,cpi_monthly,durables_monthly,nonfarm_payroll_monthly,real_gdp_per_capita_quarterly,real_gdp_quarterly,retail_sales_monthly,unemployment_monthly,central_bank_policy_rate_prcnt,domestic_credit_gdp,foreign_direct_investment_value,gdp_growth_annual_prcnt,inflation_rate_value,individuals_using_the_internet_prcnt_of_population,mobile_cellular_subscriptions_per_100_people,personal_remittances_received_prcnt_of_gdp,stock_market_index_value,tariffs_value,total_public_debt_gdp_value,trade_balance_value,trade_in_services_value,unemployment_rate_value,value,classification_numerical
430.35,3863.27745054,430.0734166666667,57.6203995912326,1.251175635581447,147.323,6000.0,101.46,2400.0,177.105,131640.0,0.20000000000000004,2.24,236.916,199424.0,141072.0,58704.0,4641.851,351787.0,4.8,2.48453034184575,183.64422192835,11385312000000.0,1.66747207596187,1.26158320570536,85.54442129,103.3702501,0.0338591199244413,9.53501570496198,2.76,98.5041017174837,-503272000000.0,6.9350752234497,4.87,,
435.67,3276.70962113,433.9712222222222,53.612586948175476,0.7149175591398512,147.323,6000.0,101.46,2400.0,177.105,131640.0,0.20000000000000004,2.24,236.916,199424.0,141072.0,58704.0,4641.851,351787.0,4.8,2.48453034184575,183.64422192835,11385312000000.0,1.66747207596187,1.26158320570536,85.54442129,103.3702501,0.0338591199244413,9.53501570496198,2.76,98.5041017174837,-503272000000.0,6.9350752234497,4.87,,
435.4,3904.33531811,433.9494583333333,34.47201326028609,-0.6523034600674649,147.323,6000.0,101.46,2400.0,177.105,131640.0,0.20000000000000004,2.24,236.916,199424.0,141072.0,58704.0,4641.851,351787.0,4.8,2.48453034184575,183.64422192835,11385312000000.0,1.66747207596187,1.26158320570536,85.54442129,103.3702501,0.0338591199244413,9.53501570496198,2.76,98.5041017174837,-503272000000.0,6.9350752234497,4.87,,
431.9,5894.44572317,431.9442638888889,61.27400528041509,0.2784642223582239,145.286,11939165.0,102.8,5697620.0,175.039,170226171.0,0.36000000000000004,2.24,236.916,199424.0,141072.0,58704.0,4641.851,351787.0,4.8,2.48453034184575,183.64422192835,11385312000000.0,1.66747207596187,1.26158320570536,85.54442129,103.3702501,0.0338591199244413,9.53501570496198,2.76,98.5041017174837,-503272000000.0,6.9350752234497,4.87,,
433.84,5150.10947569,433.6985972222222,46.272791054951824,0.08835593626344244,145.015,7601528.0,103.09,3567628.0,175.005,101482188.0,0.36000000000000004,2.25,236.916,199424.0,141072.0,58704.0,4641.851,351787.0,4.8,2.48453034184575,183.64422192835,11385312000000.0,1.66747207596187,1.26158320570536,85.54442129,103.3702501,0.0338591199244413,9.53501570496198,2.76,98.5041017174837,-503272000000.0,6.9350752234497,4.87,,
433.32,5476.95995944,432.63966666666664,46.59171624072923,-0.2956667133074641,143.223,8127333.0,104.53,9180871.0,172.513,138850579.0,0.36000000000000004,2.18,236.916,199424.0,141072.0,58704.0,4641.851,351787.0,4.8,2.48453034184575,183.64422192835,11385312000000.0,1.66747207596187,1.26158320570536,85.54442129,103.3702501,0.0338591199244413,9.53501570496198,2.76,98.5041017174837,-503272000000.0,6.9350752234497,4.87,,
430.66,13907.20172902,438.14070833333335,72.9083109605509,4.064807466062224,139.621,13473478.0,106.1,10080828.0,168.305,190749724.0,0.36000000000000004,2.16,236.916,199424.0,141072.0,58704.0,4641.851,351787.0,4.8,2.48453034184575,183.64422192835,11385312000000.0,1.66747207596187,1.26158320570536,85.54442129,103.3702501,0.0338591199244413,9.53501570496198,2.76,98.5041017174837,-503272000000.0,6.9350752234497,4.87,,
459.07,8347.0950396,454.4955972222222,49.12709203432852,2.369458428957188,138.108,12341151.0,105.79,7122924.0,166.6,187328543.0,0.36000000000000004,2.13,236.916,199424.0,141072.0,58704.0,4641.851,351787.0,4.8,2.48453034184575,183.64422192835,11385312000000.0,1.66747207596187,1.26158320570536,85.54442129,103.3702501,0.0338591199244413,9.53501570496198,2.76,98.5041017174837,-503272000000.0,6.9350752234497,4.87,,
454.41,4247.63965095,454.0931527777778,45.03660923359525,-0.544526088088143,138.108,88776.0,105.79,4800.0,166.6,4800000.0,0.36000000000000004,2.13,236.916,199424.0,141072.0,58704.0,4641.851,351787.0,4.8,2.48453034184575,183.64422192835,11385312000000.0,1.66747207596187,1.26158320570536,85.54442129,103.3702501,0.0338591199244413,9.53501570496198,2.76,98.5041017174837,-503272000000.0,6.9350752234497,4.87,,
450.39,3954.32239952,449.63237499999997,41.303582457287845,-1.334815434098644,138.108,88776.0,105.79,4800.0,166.6,4800000.0,0.36000000000000004,2.13,236.916,199424.0,141072.0,58704.0,4641.851,351787.0,4.8,2.48453034184575,183.64422192835,11385312000000.0,1.66747207596187,1.26158320570536,85.54442129,103.3702501,0.0338591199244413,9.53501570496198,2.76,98.5041017174837,-503272000000.0,6.9350752234497,4.87,,
449.99,5597.63718315,447.8719722222222,54.49584214834053,0.1340250046898106,138.716,12145797.0,104.7,5993220.0,166.985,176676463.0,0.36000000000000004,2.17,236.916,199424.0,141072.0,58704.0,4641.851,351787.0,4.8,2.48453034184575,183.64422192835,11385312000000.0,1.66747207596187,1.26158320570536,85.54442129,103.3702501,0.0338591199244413,9.53501570496198,2.76,98.5041017174837,-503272000000.0,6.9350752234497,4.87,,
